source;target;weight
Russian Federation;Sweden;55235
Russian Federation;Switzerland;405817756
Russian Federation;Ukraine;14659818
Russian Federation;United Kingdom;6196441
Russian Federation;USA;1700274
Saint Vincent and the Grenadines;British Virgin Islands;452.833
Netherlands;Austria;1348.036
Netherlands;Belgium;103001.571
Netherlands;Croatia;123.183
Netherlands;Cyprus;111.562
Netherlands;Czechia;1160.938
Netherlands;Denmark;4319.526
Netherlands;Estonia;111.562
Netherlands;Finland;620.561
Netherlands;France;46556.05
Netherlands;Germany;253336.638
Netherlands;Greece;486.92
Netherlands;Hungary;1615.319
Netherlands;Ireland;692.612
Netherlands;Italy;2992.407
Netherlands;Latvia;81.347
Netherlands;Lithuania;166.18
Netherlands;Luxembourg;1241.123
Netherlands;Malta;63.915
Netherlands;Poland;6476.383
Netherlands;Portugal;1718.746
Netherlands;Romania;1410.789
Netherlands;Slovakia;350.954
Netherlands;Slovenia;165.018
Netherlands;Spain;10231.128
Netherlands;Sweden;666901.3
Netherlands;Switzerland;17759.212
Netherlands;United Kingdom;22457.582
Pakistan;Iraq;5906.516
Peru;Bolivia;82690.1
Peru;Ecuador;163071.18
Peru;Mexico;52447.45
Peru;Panama;13201.85
Peru;Spain;1219973.52
Peru;Venezuela;1853206.37
Poland;Austria;4248
Poland;Czechia;92968
Poland;Germany;307308
Poland;Slovakia;40970
Portugal;Spain;14461.172
Russian Federation;Belize;314167
Russian Federation;British Virgin Islands;28906
Russian Federation;Bulgaria;30617
Russian Federation;Belarus;51623
Russian Federation;China;3058268
Russian Federation;Cyprus;80198
Russian Federation;Estonia;120624
Russian Federation;Finland;122081
Russian Federation;Germany;30798
Russian Federation;Kazakhstan;1356149
Russian Federation;South Korea;14518432
Russian Federation;Marshall Islands;85965
Russian Federation;Panama;17619
Russian Federation;Poland;667959
Russian Federation;Singapore;11499028
Russian Federation;Sweden;55235
Russian Federation;Switzerland;57358938
Russian Federation;Ukraine;213021
Russian Federation;United Kingdom;134811
Netherlands;Austria;2146.399
Netherlands;Belgium;9697360.763
Netherlands;Croatia;230.096
Netherlands;Cyprus;175.477
Netherlands;Czechia;3038.891
Netherlands;Denmark;1024726.997
Netherlands;Estonia;108.075
Netherlands;Finland;971.516
Netherlands;France;5267077.636
Netherlands;Germany;39118398.7
Netherlands;Greece;1535.134
Netherlands;Hungary;2386.953
Netherlands;Ireland;928047.249
Netherlands;Italy;7560.623
Netherlands;Latvia;400009.927
Netherlands;Lithuania;454.381
Netherlands;Luxembourg;859324.142
Netherlands;Malta;133.641
Netherlands;Poland;4733.233
Netherlands;Portugal;849.495
Netherlands;Romania;857.63
Netherlands;Slovakia;718.178
Netherlands;Slovenia;196.395
Netherlands;Spain;893102.902
Netherlands;Sweden;5253.854
Netherlands;United Kingdom;3881305.925
Poland;Austria;2667387
Poland;Czechia;16830764
Poland;Germany;20
Poland;Hungary;126118
Poland;Slovakia;3975996
Poland;Ukraine;8150755
Russian Federation;British Virgin Islands;16312393
Russian Federation;Belarus;1225339
Russian Federation;China;6950
Russian Federation;Cyprus;141697741
Russian Federation;Finland;1973864
Russian Federation;Hong Kong;2607114
Russian Federation;Japan;206959
Russian Federation;Kazakhstan;56266
Russian Federation;South Korea;531463
Russian Federation;Moldova;77144
Russian Federation;Marshall Islands;1381748
Russian Federation;Panama;284112
Russian Federation;Poland;903407
Russian Federation;Seychelles;990223
Russian Federation;Singapore;87721073
Russian Federation;Switzerland;348458818
Russian Federation;Ukraine;14446797
Russian Federation;United Kingdom;6061630
Russian Federation;USA;1700274
Saint Vincent and the Grenadines;British Virgin Islands;452.833
Mozambique;Malawi;69791.67
Netherlands;Albania;1.162
Netherlands;Algeria;4.648
Netherlands;Andorra;5.81
Netherlands;Angola;4.648
Netherlands;Azerbaijan;6.973
Netherlands;Argentina;8.135
Netherlands;Australia;65.078
Netherlands;Austria;2149.885
Netherlands;Bahrain;4.648
Netherlands;Bangladesh;2.324
Netherlands;Armenia;3.486
Netherlands;Belgium;159798.047
Netherlands;Bolivia;10.459
Netherlands;Bosnia Herzegovina;10.459
Netherlands;Brazil;44.16
Netherlands;Bulgaria;564.781
Netherlands;Myanmar;2.324
Netherlands;Belarus;13.945
Netherlands;Cambodia;1.162
Netherlands;Cameroon;5.81
Netherlands;Cabo Verde;1.162
Netherlands;Sri Lanka;12.783
Netherlands;Chile;5.81
Netherlands;China;132.479
Netherlands;Colombia;5.81
Netherlands;Congo;5.81
Netherlands;Congo (Democratic Republic);1.162
Netherlands;Costa Rica;1.162
Netherlands;Croatia;231.258
Netherlands;Cyprus;174.315
Netherlands;Czechia;2772.771
Netherlands;Benin;4.648
Netherlands;Denmark;3464.22
Netherlands;Dominica;1.162
Netherlands;Dominican Republic;1.162
Netherlands;Ecuador;12.783
Netherlands;Equatorial Guinea;1.162
Netherlands;Ethiopia;1.162
Netherlands;Estonia;108.075
Netherlands;Finland;975.002
Netherlands;France;113529.035
Netherlands;French Polynesia;1.162
Netherlands;Djibouti;3.486
Netherlands;Gabon;2.324
Netherlands;Georgia;1.162
Netherlands;Gambia;1.162
Netherlands;Germany;4588314.782
Netherlands;Ghana;15.107
Netherlands;Gibraltar;1.162
Netherlands;Greece;1027.296
Netherlands;Guatemala;5.81
Netherlands;Guyana;1.162
Netherlands;Hong Kong;32.539
Netherlands;Hungary;2389.278
Netherlands;Iceland;965550.541
Netherlands;Indonesia;16.269
Netherlands;Iran;3.486
Netherlands;Iraq;2.324
Netherlands;Ireland;1975.57
Netherlands;Israel;36.025
Netherlands;Italy;7621.052
Netherlands;Côte d'Ivoire;11.621
Netherlands;Jamaica;5.81
Netherlands;Japan;84.833
Netherlands;Kazakhstan;17.431
Netherlands;Jordan;4.648
Netherlands;Kenya;6.973
Netherlands;South Korea;36.025
Netherlands;Kuwait;29.052
