source;target;weight
Zimbabwe;Congo (Democratic Republic);18523.19
Zimbabwe;Congo (Democratic Republic);18523.19
Italy;China;99563.018
Italy;China;99563.018
France;Algeria;22783.616
France;Algeria;22783.616
Poland;Denmark;472262
Poland;Denmark;472262
Poland;Lithuania;12392
Poland;Lithuania;12392
France;Switzerland;2344.468
France;Switzerland;2344.468
Italy;Spain;4676.125
Italy;Spain;4676.125
Poland;Spain;354432
Poland;Spain;354432
Poland;Hungary;3739702
Poland;Hungary;2169013
Poland;Hungary;1570689
Poland;Slovakia;11596573
Poland;Slovakia;3301
Poland;Slovakia;10144219
Poland;Slovakia;1449053
Poland;North Macedonia;161841
Poland;North Macedonia;161841
Italy;Greece;1036.434
Italy;Greece;1036.434
Lithuania;Poland;4101
Lithuania;Poland;4101
France;Belgium;296457.325
France;Belgium;3912.571
France;Belgium;292439.702
France;Belgium;105.053
Poland;Belgium;108980
Poland;Belgium;108980
Poland;Finland;1797299
Poland;Finland;1797299
Poland;Ireland;2710793
Poland;Ireland;2710793
Poland;Norway;1049888
Poland;Norway;1049888
Italy;Slovenia;10438.647
Italy;Slovenia;6135.332
Italy;Slovenia;4303.316
Poland;Sweden;2410987
Poland;Sweden;2360486
Poland;Sweden;50501
Estonia;United Kingdom;6656.03
France;United Kingdom;1373003.676
France;United Kingdom;1373003.676
Estonia;United Kingdom;6656.03
Ireland;United Kingdom;19736028
Ireland;United Kingdom;1324867.778
Ireland;United Kingdom;18403121.14
Ireland;United Kingdom;8039.091
Poland;United Kingdom;4384195
Poland;United Kingdom;4384195
Spain;Portugal;549312.096
Spain;Portugal;417958.542
Spain;Portugal;128225.035
Spain;Portugal;3128.519
Italy;Albania;617882.593
Italy;Albania;617882.593
Zimbabwe;Zambia;251961.39
Zimbabwe;Zambia;251961.39
Turkey;Cyprus;161
Turkey;Cyprus;161
Poland;Austria;17716911
Poland;Austria;6843456
Poland;Austria;10873455
Italy;France;61106.058
Italy;France;8948.693
Italy;France;52157.365
Poland;France;2081552
Poland;France;2081552
Spain;France;11347922.16
Spain;France;11347922.16
Malawi;United Rep. of Tanzania;1973.438
Malawi;United Rep. of Tanzania;1973.438
Poland;Netherlands;3772397
Poland;Netherlands;3772397
Spain;Netherlands;22051.373
Spain;Netherlands;22051.373
France;Germany;40663.066
France;Germany;40663.066
Poland;Germany;36402953
Poland;Germany;93620
Poland;Germany;1763751
Poland;Germany;34545582
Spain;Germany;3432.275
Spain;Germany;3432.275
Poland;Czechia;14159848
Poland;Czechia;67459
Poland;Czechia;9507859
Poland;Czechia;4584530
Poland;Italy;7434493
Poland;Italy;16245
Poland;Italy;7418248
Poland;Serbia;144838
Poland;Serbia;144838
Lithuania;Russian Federation;43
Lithuania;Russian Federation;43
Lesotho;South Africa;216.347
Lesotho;South Africa;216.347
Poland;Croatia;17733
Poland;Croatia;17733
Poland;Denmark;194134
Poland;Denmark;194134
Poland;Lithuania;17729
Poland;Lithuania;17729
France;Switzerland;7515.53
France;Switzerland;7515.53
Poland;Iceland;312584
Poland;Iceland;312015
Poland;Iceland;569
Italy;Spain;1881.11
Italy;Spain;1881.11
Poland;Spain;410164
Poland;Spain;410164
Poland;Hungary;4031440
Poland;Hungary;2192684
Poland;Hungary;1838756
Spain;Andorra;241.821
Spain;Andorra;241.821
Italy;Slovakia;24.182
Italy;Slovakia;24.182
Poland;Slovakia;10097337
Poland;Slovakia;8743819
Poland;Slovakia;1353518
Italy;Lebanon;20320.567
Italy;Lebanon;20320.567
Turkey;Greece;8456
Turkey;Greece;8456
Poland;Romania;4942
Poland;Romania;4942
Turkey;Romania;96000
Turkey;Romania;96000
Lithuania;Poland;10006
Lithuania;Poland;10006
France;Belgium;133120.968
France;Belgium;3776.22
France;Belgium;129344.748
Poland;Belgium;5263
Poland;Belgium;5263
Poland;Finland;4722756
Poland;Finland;4722756
Italy;Ireland;402.186
Italy;Ireland;402.186
Poland;Ireland;2265379
Poland;Ireland;2265379
