source;target;weight
France;Kuwait;5019.552
France;Japan;57037.304
France;Guinea;55899.01
France;Greece;776749.228
France;Estonia;1590.246
France;Denmark;21973.762
France;Congo;39823.462
France;Sweden;93894.23
France;South Africa;45115.868
France;Senegal;2152391.35
France;Russian Federation;30976.742
France;Portugal;5707757.1
France;Andorra;120791.384
France;Mayotte (Overseas France);2101.096
France;Bulgaria;1714.052
Norway;Belgium;121718424.5
Norway;Germany;584664487.8
Norway;Italy;118057043.3
Norway;Denmark;6036159.308
Norway;Netherlands;166120945.7
Norway;Italy;122583204.6
Norway;Poland;6036159.308
France;Greece;114238.74
France;Tunisia;16492112.51
France;Syria;5742329.108
France;Andorra;116782.812
France;Congo;13790.272
France;Japan;76786.908
France;Lebanon;4007042.305
France;Morocco;13666540.94
France;Senegal;2562268.631
France;Nigeria;1704731.317
France;Switzerland;6969062.832
France;Italy;132051604.6
France;Italy;15930969.87
France;Spain;43228992.01
France;Belgium;51120.54
France;Czechia;38755.736
France;Austria;2167.001
France;Poland;1416.149
France;Sweden;10559.182
France;Portugal;18577.214
France;Spain;45041479.66
France;Luxembourg;2481.133
France;Lithuania;182.605
France;Netherlands;1456736.814
France;Germany;11427462.69
France;Italy;150450526.9
France;Switzerland;7036677.864
Norway;Czechia;61350773.29
Norway;Spain;40292757.07
Norway;Denmark;6036764.897
Norway;Germany;588504502.4
Norway;Belgium;134825527.4
Norway;United Kingdom;379952078.8
Norway;Sweden;16373.76
Norway;Germany;571852502.4
Norway;France;318791969.5
Norway;Denmark;5563262.2
Norway;Czechia;62828684.83
Norway;Belgium;144456132.6
Norway;United Kingdom;342962937.1
Norway;Spain;40958554.6
Norway;Russian Federation;8086.518
Norway;Poland;5563262.2
Norway;Netherlands;139081555.6
France;USA;46407.28
France;Portugal;1720981.9
France;Czechia;11899.855
France;Spain;27499840.06
France;Germany;10009922.23
France;Ireland;852.61
France;United Kingdom;1136.536
France;Spain;9288.075
France;Portugal;118.19
France;Congo;12885.115
France;Congo;12885.115
France;United Kingdom;643600.375
France;Germany;792269.5
France;Congo;13764.465
France;Bulgaria;4535.025
France;Belgium;1361.14
France;Angola;22534.71
France;Congo;13764.465
France;Bulgaria;4535.025
France;Angola;22534.71
France;Switzerland;760048.685
France;Spain;25813498.92
France;Belgium;11.385
Norway;Italy;131049513.9
Norway;Germany;571852502.4
Norway;France;317610114.8
Norway;Denmark;5563262.2
Norway;Czechia;62828684.83
Norway;Belgium;122011784.4
Norway;Sweden;52520.699
Norway;Sweden;45831353.18
Norway;Portugal;10550013.06
Norway;Mauritania;1180879.188
Norway;Iceland;308638.953
Norway;Guatemala;7397180.903
Norway;Finland;8926066.412
Norway;Faeroe Isds;195.192
France;Malta;141.68
France;Italy;90748381.52
France;Italy;493.35
France;Italy;92944443.02
France;Austria;1763962.805
France;Poland;524312.14
France;Togo;18067.995
France;Tunisia;2051656.695
France;Ukraine;14604.425
